epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
40,76.7539,0.87821,1.13067,1.05625,0.99773,0.75676,0.76561,0.63342,1.49799,2.1653,1.48625,0.0004556,0.0004556,0.0004556
41,79.9474,0.84181,1.1757,1.07733,0.99742,0.75676,0.76968,0.62478,1.64034,2.16159,1.57552,0.000416,0.000416,0.000416
42,81.6237,0.78096,1.15184,0.99708,0.99701,0.75676,0.77071,0.64301,1.74478,2.16044,1.61327,0.0003764,0.0003764,0.0003764
43,83.3761,0.76266,1.10727,1.02302,0.99718,0.75676,0.77107,0.63557,1.76738,2.23749,1.62394,0.0003368,0.0003368,0.0003368
44,85.2086,0.72384,1.09226,1.01124,0.99749,0.75676,0.76924,0.62036,1.63423,2.25278,1.52633,0.0002972,0.0002972,0.0002972
45,87.0866,0.75113,1.11629,1.01095,0.99751,0.75676,0.77303,0.6305,1.53792,2.23074,1.48595,0.0002576,0.0002576,0.0002576
46,88.8486,0.77044,1.13699,1.03641,0.99755,0.75676,0.77009,0.62874,1.60466,2.20392,1.51791,0.000218,0.000218,0.000218
47,90.5231,0.76231,1.09262,1.0147,0.99751,0.75676,0.76775,0.64123,1.653,2.15654,1.55622,0.0001784,0.0001784,0.0001784
48,92.2842,0.72986,1.067,0.98208,0.9974,0.75676,0.76684,0.63819,1.66132,2.11767,1.56744,0.0001388,0.0001388,0.0001388
49,94.0166,0.72428,1.04384,1.00773,0.99739,0.75676,0.76753,0.64179,1.64479,2.12653,1.58744,9.92e-05,9.92e-05,9.92e-05
50,96.0612,0.72179,0.9735,0.97467,0.99738,0.75676,0.7693,0.63465,1.63082,2.12016,1.59129,5.96e-05,5.96e-05,5.96e-05
