epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
27,53.418,1.09311,1.36814,1.13054,0.99783,0.75676,0.77237,0.58645,1.87159,2.24919,1.72468,0.0009704,0.0009704,0.0009704
28,55.1613,1.2756,1.53202,1.19952,0.99696,0.75676,0.77802,0.54777,1.86003,2.32152,1.68561,0.0009308,0.0009308,0.0009308
29,56.9045,1.2273,1.42564,1.19384,0.99697,0.75676,0.78647,0.60128,1.79765,2.30057,1.69099,0.0008912,0.0008912,0.0008912
30,58.866,1.15665,1.33512,1.15868,0.99747,0.75676,0.77114,0.53406,1.8333,2.29824,1.6604,0.0008516,0.0008516,0.0008516
31,60.5895,1.12877,1.32679,1.18716,0.99738,0.75676,0.77248,0.59718,1.71264,2.26444,1.64053,0.000812,0.000812,0.000812
32,62.4406,1.08485,1.26499,1.11977,0.99745,0.75676,0.76613,0.55285,1.57466,2.47722,1.46174,0.0007724,0.0007724,0.0007724
33,64.1206,1.11242,1.25619,1.09347,0.99658,0.75676,0.7643,0.586,1.56485,2.36012,1.45229,0.0007328,0.0007328,0.0007328
34,65.8334,1.08086,1.30396,1.10245,0.99537,0.75676,0.76464,0.57671,1.69356,2.27529,1.5062,0.0006932,0.0006932,0.0006932
35,67.468,1.07859,1.35623,1.11775,0.99605,0.75676,0.76539,0.59401,1.70401,2.24705,1.5034,0.0006536,0.0006536,0.0006536
36,69.4018,1.11975,1.2925,1.11725,0.99724,0.75676,0.76716,0.58012,1.6966,2.25367,1.53704,0.000614,0.000614,0.000614
37,71.0958,1.0825,1.2656,1.11337,0.9975,0.75676,0.76589,0.55094,1.64764,2.30916,1.54059,0.0005744,0.0005744,0.0005744
38,72.7559,1.05996,1.21879,1.10465,0.99754,0.75676,0.76763,0.53707,1.72008,2.25071,1.59817,0.0005348,0.0005348,0.0005348
39,74.5475,1.02616,1.20254,1.07518,0.99778,0.75676,0.77174,0.57256,1.85384,2.18051,1.60934,0.0004952,0.0004952,0.0004952
40,76.3069,0.99664,1.21675,1.09081,0.99791,0.75676,0.77451,0.58761,1.79228,2.42001,1.53655,0.0004556,0.0004556,0.0004556
41,79.7812,0.96507,1.27944,1.05936,0.99774,0.75676,0.77422,0.58222,1.87301,2.31574,1.62686,0.000416,0.000416,0.000416
42,81.5935,0.94421,1.32157,1.04211,0.99747,0.75676,0.77192,0.56951,1.89459,2.2172,1.77595,0.0003764,0.0003764,0.0003764
43,83.2495,0.9407,1.23644,1.06367,0.9975,0.75676,0.76477,0.57202,1.95551,2.19834,1.85398,0.0003368,0.0003368,0.0003368
44,85.0252,0.90339,1.20375,1.07517,0.99769,0.75676,0.76641,0.58508,1.81032,2.19473,1.81665,0.0002972,0.0002972,0.0002972
45,86.9637,0.88194,1.21443,1.05192,0.99772,0.75676,0.76835,0.59461,1.6846,2.14289,1.73215,0.0002576,0.0002576,0.0002576
46,89.0404,0.91672,1.25952,1.0904,0.99752,0.75676,0.76977,0.60534,1.62188,2.11556,1.6259,0.000218,0.000218,0.000218
47,90.9588,0.93671,1.17146,1.0544,0.99736,0.75676,0.77537,0.58986,1.61006,2.12404,1.56567,0.0001784,0.0001784,0.0001784
48,92.8043,0.87043,1.19765,1.02998,0.99753,0.75676,0.78105,0.60499,1.62636,2.08956,1.54386,0.0001388,0.0001388,0.0001388
49,94.567,0.82799,1.16623,1.01415,0.99755,0.75676,0.77993,0.59781,1.67193,2.0814,1.55303,9.92e-05,9.92e-05,9.92e-05
50,96.364,0.87131,1.07615,1.02553,0.99755,0.75676,0.78131,0.59999,1.65945,2.0549,1.54386,5.96e-05,5.96e-05,5.96e-05
