epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.42653,2.93798,4.55621,2.20562,0.00234,0.7027,0.18729,0.04524,3.68598,4.3969,2.37303,0.00016,0.00016,0.00016
2,7.35945,2.11243,3.42629,1.62516,0.00252,0.75676,0.71648,0.29621,3.24727,4.40201,2.66465,0.000333268,0.000333268,0.000333268
3,9.41074,1.88841,3.11779,1.52312,0.00252,0.75676,0.0413,0.01712,3.07623,4.53878,2.47468,0.000499408,0.000499408,0.000499408
4,11.1782,1.72884,2.76406,1.44899,0.00288,0.86486,0.01776,0.00753,2.62271,6.161,2.04086,0.00065842,0.00065842,0.00065842
5,13.1268,1.58596,2.52199,1.36097,0.00234,0.7027,0.00484,0.00246,2.95037,4.50726,2.78209,0.000810304,0.000810304,0.000810304
6,14.8914,1.56696,2.30846,1.35941,0.00252,0.75676,0.00391,0.0023,2.47486,6.75027,2.34137,0.00095506,0.00095506,0.00095506
7,16.6208,1.52837,2.16888,1.32922,0.00252,0.75676,0.02358,0.00976,1.97981,4.62077,1.87076,0.00109269,0.00109269,0.00109269
8,18.4724,1.47803,2.19496,1.31722,0.00252,0.75676,0.6452,0.38744,2.128,3.62854,1.76074,0.00122319,0.00122319,0.00122319
9,20.4167,1.41804,2.04097,1.27218,1,0.46161,0.75575,0.46879,1.86756,3.32385,1.4092,0.00134656,0.00134656,0.00134656
10,22.1424,1.42077,1.99696,1.25863,1,0.65556,0.7765,0.50528,1.72886,3.17406,1.46074,0.0014628,0.0014628,0.0014628
11,23.8205,1.35396,1.84236,1.21678,1,0.73807,0.75559,0.50567,2.43984,3.08655,1.8136,0.00157192,0.00157192,0.00157192
12,25.609,1.4836,2.09883,1.32803,0.99056,0.75676,0.75544,0.48419,2.59183,3.04986,2.77215,0.0015644,0.0015644,0.0015644
13,27.3999,1.51499,1.94392,1.33162,0.98563,0.75676,0.75749,0.52459,1.62711,3.10462,1.64003,0.0015248,0.0015248,0.0015248
14,29.4018,1.31833,1.74012,1.20929,0.99838,0.75676,0.75548,0.51718,2.01301,2.88206,1.76549,0.0014852,0.0014852,0.0014852
15,31.0971,1.41711,1.83696,1.25359,1,0.75216,0.75768,0.45475,2.39956,3.12773,2.31957,0.0014456,0.0014456,0.0014456
16,32.8718,1.37826,1.77098,1.26971,0.99613,0.75676,0.75832,0.53915,1.91694,2.94676,1.9211,0.001406,0.001406,0.001406
17,34.6505,1.34316,1.68019,1.24437,0.24003,0.67568,0.20178,0.14215,2.20842,9.38914,1.83461,0.0013664,0.0013664,0.0013664
18,36.5193,1.2867,1.52836,1.20127,0.99672,0.75676,0.75709,0.55521,2.22062,2.53967,1.81481,0.0013268,0.0013268,0.0013268
19,38.3486,1.31233,1.64092,1.228,0.99651,0.75676,0.76023,0.53124,2.07277,2.45184,1.79391,0.0012872,0.0012872,0.0012872
20,40.612,1.39357,1.66384,1.25057,0.99677,0.75676,0.76651,0.53279,1.84431,2.43452,1.62946,0.0012476,0.0012476,0.0012476
21,42.7704,1.22466,1.5254,1.18723,0.99754,0.75676,0.76969,0.52177,1.84602,2.51691,1.68339,0.001208,0.001208,0.001208
22,44.594,1.1418,1.40493,1.12357,0.99765,0.75676,0.75583,0.57267,1.84607,2.95686,1.7191,0.0011684,0.0011684,0.0011684
23,46.3868,1.33137,1.7168,1.21167,0.98949,0.75676,0.75762,0.54526,1.84866,2.89834,1.71061,0.0011288,0.0011288,0.0011288
24,48.1865,1.24493,1.57547,1.1814,0.99727,0.75676,0.77491,0.55159,2.01059,2.48251,1.72537,0.0010892,0.0010892,0.0010892
25,50.1286,1.21037,1.46581,1.15483,0.99748,0.75676,0.77158,0.52435,2.04464,2.45546,1.7503,0.0010496,0.0010496,0.0010496
26,51.7711,1.14709,1.50835,1.1701,0.99755,0.75676,0.77312,0.55208,1.90763,2.27895,1.75346,0.00101,0.00101,0.00101
